"Date","Price","Open","High","Low","Vol.","Change %"
"May 24, 2019","1,780.00","1,781.00","1,781.75","1,776.25","-","0.21%"
"May 23, 2019","1,776.25","1,776.25","1,776.25","1,757.50","-","1.07%"
"May 22, 2019","1,757.50","1,757.75","1,775.25","1,757.75","-","-1.00%"
"May 21, 2019","1,775.25","1,775.75","1,779.25","1,773.83","-","-0.13%"
"May 20, 2019","1,777.50","1,771.25","1,819.00","1,771.25","-","-2.28%"
"May 17, 2019","1,819.00","1,833.25","1,855.25","1,809.25","0.03K","-1.29%"
"May 16, 2019","1,842.75","1,833.25","1,853.25","1,819.74","0.13K","0.30%"
"May 15, 2019","1,837.25","1,833.25","1,837.25","1,819.74","-","0.59%"
"May 14, 2019","1,826.50","1,821.00","1,826.25","1,790.50","-","2.01%"
"May 13, 2019","1,790.50","1,796.00","1,796.00","1,787.60","-","0.75%"
"May 10, 2019","1,777.25","1,785.50","1,785.50","1,768.75","-","0.48%"
"May 09, 2019","1,768.75","1,770.50","1,772.71","1,768.00","-","0.04%"
"May 08, 2019","1,768.00","1,770.50","1,788.50","1,770.00","-","-1.15%"
"May 07, 2019","1,788.50","1,792.25","1,792.25","1,769.50","-","1.07%"
"May 03, 2019","1,769.50","1,790.50","1,790.50","1,769.75","-","-1.17%"
"May 02, 2019","1,790.50","1,800.25","1,818.25","1,773.00","0.04K","-0.03%"
"May 01, 2019","1,791.00","1,800.25","1,800.25","1,773.00","-","1.02%"
"Apr 30, 2019","1,773.00","1,782.50","1,803.75","1,773.00","-","-1.70%"
"Apr 29, 2019","1,803.75","1,808.25","1,818.00","1,808.25","-","-0.78%"
"Apr 26, 2019","1,818.00","1,828.50","1,839.00","1,818.75","-","-1.14%"
"Apr 25, 2019","1,839.00","1,839.50","1,854.00","1,838.25","-","-0.81%"
"Apr 24, 2019","1,854.00","1,853.75","1,854.50","1,847.50","-","0.35%"
"Apr 23, 2019","1,847.50","1,848.75","1,859.08","1,848.75","-","-0.15%"
"Apr 18, 2019","1,850.25","1,851.25","1,851.25","1,832.75","-","0.95%"
"Apr 17, 2019","1,832.75","1,834.25","1,849.18","1,832.50","-","-0.27%"
"Apr 16, 2019","1,837.75","1,835.25","1,845.00","1,834.13","-","-0.39%"
"Apr 15, 2019","1,845.00","1,845.00","1,846.00","1,844.50","-","0.03%"
"Apr 12, 2019","1,844.50","1,845.00","1,845.00","1,839.28","-","0.18%"
"Apr 11, 2019","1,841.25","1,837.25","1,842.00","1,837.25","-","-0.04%"
"Apr 10, 2019","1,842.00","1,855.50","1,861.75","1,838.25","0.25K","-0.67%"
"Apr 09, 2019","1,854.50","1,855.50","1,856.00","1,848.25","-","0.34%"
"Apr 08, 2019","1,848.25","1,849.75","1,869.25","1,849.75","-","-1.83%"
"Apr 05, 2019","1,882.75","1,908.00","1,914.75","1,880.25","-","0.28%"
"Apr 04, 2019","1,877.50","1,876.25","1,891.25","1,869.50","0.00K","-0.05%"
"Apr 03, 2019","1,878.50","1,876.25","1,877.25","1,869.50","-","0.48%"
"Apr 02, 2019","1,869.50","1,867.25","1,883.00","1,867.25","-","-0.72%"
"Apr 01, 2019","1,883.00","1,880.50","1,908.01","1,880.50","-","-0.91%"
"Mar 29, 2019","1,900.25","1,904.75","1,911.58","1,893.75","-","0.34%"
"Mar 28, 2019","1,893.75","1,896.00","1,902.50","1,894.50","-","-0.46%"
"Mar 27, 2019","1,902.50","1,895.75","1,904.80","1,875.75","-","1.43%"
"Mar 26, 2019","1,875.75","1,882.25","1,886.50","1,864.98","-","0.56%"
"Mar 25, 2019","1,865.25","1,871.25","1,888.00","1,868.25","-","-1.20%"
"Mar 22, 2019","1,888.00","1,887.75","1,889.00","1,880.78","-","0.15%"
"Mar 21, 2019","1,885.25","1,890.50","1,926.00","1,888.25","0.79K","-2.12%"
"Mar 20, 2019","1,926.00","1,922.00","1,935.96","1,921.00","-","-0.49%"
"Mar 19, 2019","1,935.50","1,929.50","1,936.00","1,908.63","-","1.27%"
"Mar 18, 2019","1,911.25","1,916.00","1,918.50","1,886.75","-","1.31%"
