Date,Closing Price,Daily High,Daily Low
4/24/2019,1872.00,1876.75,1869.15
4/25/2019,1857.00,1875.75,1856.85
4/26/2019,1837.00,1863.85,1832.00
4/29/2019,1828.00,1846.25,1826.00
4/30/2019,1797.00,1829.00,1796.85
05/01/2019,1815.00,1815.15,1784.80
05/02/2019,1816.00,1835.20,1815.75
05/03/2019,1795.50,1896.15,1795.35
05/07/2019,1816.00,1820.00,1798.00
05/08/2019,1797.00,1814.00,1796.85
05/09/2019,1799.00,1806.20,1792.00
05/10/2019,1808.00,1814.22,1800.00
5/13/2019,1809.00,1810.25,1796.25
5/14/2019,1844.50,1845.00,1808.50
5/15/2019,1855.00,1855.15,1830.75
5/16/2019,1860.00,1869.10,1850.00
5/17/2019,1837.00,1854.25,1834.25
5/20/2019,1797.50,1834.75,1796.75
5/21/2019,1796.00,1805.25,1792.31
5/22/2019,1779.00,1797.00,1778.00
5/23/2019,1797.50,1797.65,1769.75
5/24/2019,1800.00,1804.50,1792.40
5/28/2019,1807.00,1812.00,1803.00
5/29/2019,1795.00,1806.75,1794.85
5/30/2019,1782.00,1794.00,1777.85
5/31/2019,1794.50,1796.00,1788.00
06/03/2019,1777.00,1792.85,1776.85
06/04/2019,1786.00,1786.50,1774.00
06/05/2019,1771.00,1800.00,1765.85
06/06/2019,1776.00,1784.85,1768.00
06/07/2019,1764.00,1771.21,1762.51
06/10/2019,1775.00,1779.00,1751.75
06/11/2019,1778.00,1793.95,1777.85
06/12/2019,1790.00,1791.00,1768.75
6/13/2019,1787.00,1792.25,1781.25
6/14/2019,1764.50,1777.50,1762.14
6/17/2019,1758.50,1761.50,1746.22
6/18/2019,1781.00,1781.50,1760.00
6/19/2019,1784.00,1784.00,1774.25
6/20/2019,1781.00,1804.73,1780.85
6/21/2019,1767.50,1786.75,1767.00
6/24/2019,1793.00,1793.65,1768.50
6/25/2019,1814.00,1816.19,1797.00
6/26/2019,1820.00,1828.35,1808.75
6/27/2019,1790.00,1816.68,1789.85
6/28/2019,1800.00,1801.43,1793.00
07/01/2019,1794.00,1809.15,1793.00
07/02/2019,1782.00,1794.25,1775.82
07/03/2019,1790.00,1790.15,1777.00
07/04/2019,1807.00,1807.15,1789.00
07/05/2019,1803.00,1806.01,1800.00
07/08/2019,1809.00,1810.00,1799.35
07/09/2019,1821.00,1821.15,1801.18
07/10/2019,1850.00,1850.15,1816.25
07/11/2019,1828.00,1846.52,1824.65
07/12/2019,1822.00,1826.25,1815.03
7/15/2019,1842.00,1842.15,1826.25
7/16/2019,1850.00,1855.15,1817.90
7/17/2019,1847.00,1847.15,1838.00
7/18/2019,1854.00,1854.00,1838.25
7/19/2019,1848.00,1864.65,1847.00
7/22/2019,1816.00,1836.00,1815.80
7/23/2019,1816.00,1822.10,1815.00
7/24/2019,1826.00,1829.88,1819.25
7/25/2019,1826.00,1826.75,1823.85
7/26/2019,1802.00,1827.75,1799.30
7/29/2019,1811.00,1812.00,1796.00
7/30/2019,1803.00,1812.35,1802.85
7/31/2019,1799.00,1813.00,1798.85
08/01/2019,1780.00,1793.61,1779.85
08/02/2019,1770.00,1781.44,1769.85
08/05/2019,1763.00,1774.25,1762.85
08/06/2019,1759.00,1772.25,1758.85
08/07/2019,1745.00,1765.75,1744.85
08/08/2019,1778.00,1779.00,1756.25
08/09/2019,1771.00,1780.25,1770.85
08/12/2019,1770.00,1785.77,1767.49
8/13/2019,1785.00,1792.85,1761.00
8/14/2019,1775.00,1785.20,1772.00
8/15/2019,1782.00,1783.00,1775.20
8/16/2019,1792.00,1798.00,1783.50
8/19/2019,1794.00,1804.87,1793.25
8/20/2019,1782.00,1794.15,1780.75
8/21/2019,1779.00,1788.10,1778.75
8/22/2019,1766.00,1778.25,1763.15
8/23/2019,1770.00,1777.32,1764.25
8/27/2019,1761.00,1778.00,1760.00
8/28/2019,1746.00,1761.00,1745.85
8/29/2019,1753.00,1753.20,1741.00
8/30/2019,1753.00,1754.00,1741.00
09/02/2019,1749.00,1755.15,1745.00
09/03/2019,1753.00,1753.15,1741.00
09/04/2019,1775.00,1777.50,1761.00
09/05/2019,1784.00,1786.50,1767.10
09/06/2019,1791.00,1791.00,1787.75
09/09/2019,1799.00,1799.00,1785.50
09/10/2019,1820.00,1820.15,1798.00
09/11/2019,1825.00,1826.59,1816.25
09/12/2019,1803.00,1822.73,1796.26
9/13/2019,1810.00,1810.15,1768.00
9/16/2019,1793.00,1816.75,1791.00
9/17/2019,1792.00,1792.75,1778.35
9/18/2019,1785.50,1792.79,1781.50
9/19/2019,1800.00,1800.00,1786.25
9/20/2019,1795.00,1798.78,1765.00
9/23/2019,1785.00,1790.75,1776.50
9/24/2019,1762.50,1784.00,1760.03
9/25/2019,1752.00,1765.75,1751.85
9/26/2019,1737.00,1755.75,1736.85
9/27/2019,1735.00,1743.75,1729.85
9/30/2019,1721.50,1747.75,1721.35
10/01/2019,1740.00,1744.00,1718.85
10/02/2019,1705.00,1733.69,1704.85
10/03/2019,1718.00,1718.15,1709.40
10/04/2019,1719.00,1723.00,1714.50
10/07/2019,1746.15,1746.15,1716.05
10/08/2019,1751.35,1758.50,1738.00
10/09/2019,1743.85,1748.75,1737.00
10/10/2019,1752.85,1757.50,1739.15
10/11/2019,1721.85,1747.75,1721.85
10/14/2019,1719.85,1725.25,1711.95
10/15/2019,1727.85,1728.15,1713.15
10/16/2019,1727.85,1728.00,1714.50
10/17/2019,1726.85,1734.00,1722.25
10/18/2019,1737.85,1739.00,1723.00
10/21/2019,1728.85,1741.85,1728.85
10/22/2019,1718.85,1728.75,1716.75
10/23/2019,1725.15,1730.20,1715.80
10/24/2019,1723.85,1727.41,1722.15
10/25/2019,1728.00,1728.50,1718.75
10/28/2019,1737.00,1737.00,1729.50
10/29/2019,1754.00,1754.00,1735.75
10/30/2019,1760.00,1760.15,1747.40
10/31/2019,1755.15,1755.15,1735.47
11/01/2019,1785.85,1786.15,1756.52
11/04/2019,1814.85,1815.15,1781.50
11/05/2019,1808.40,1813.52,1808.40
11/06/2019,1810.00,1813.85,1802.59
11/07/2019,1812.85,1815.72,1801.25
11/08/2019,1807.35,1820.25,1806.00
11/11/2019,1778.85,1808.75,1778.85
